日期,代號,均線,法人,收盤價
2026-04-15,4915.TW,1,0,73.7
2026-04-13,4933.TWO,1,0,60.7
2026-04-14,4933.TWO,1,0,60.2
2026-04-15,4933.TWO,1,0,59.7
2026-04-13,4915.TW,1,0,73.6
2026-04-14,4915.TW,1,0,73.3
2026-04-15,4915.TW,1,0,73.7
2026-04-13,6552.TW,-1,0,25.8
2026-04-14,6552.TW,1,0,27.15
2026-04-15,6552.TW,1,0,27.4
2026-04-13,4989.TW,1,0,81.3
2026-04-14,4989.TW,1,0,89.4
2026-04-15,4989.TW,1,0,98.3
2026-04-13,6577.TWO,1,0,78.9
2026-04-14,6577.TWO,1,0,79.1
2026-04-15,6577.TWO,1,0,79.1
2026-04-13,4989.TW,1,0,81.3
2026-04-14,4989.TW,1,0,89.4
2026-04-15,4989.TW,1,0,98.3
2026-04-13,6279.TWO,-1,0,103.5
2026-04-14,6279.TWO,-1,0,104.5
2026-04-15,6279.TWO,-1,0,105.5
2026-04-13,6576.TWO,-1,0,77.0
2026-04-14,6576.TWO,-1,0,77.0
2026-04-15,6576.TWO,-1,0,77.4
2026-04-13,6416.TW,-1,0,78.5
2026-04-14,6416.TW,-1,0,79.1
2026-04-15,6416.TW,1,0,80.1
2026-04-13,6281.TW,-1,0,52.0
2026-04-14,6281.TW,-1,0,52.0
2026-04-15,6281.TW,-1,0,52.5
2026-04-13,4935.TW,-1,0,35.6
2026-04-14,4935.TW,1,0,36.45
2026-04-15,4935.TW,-1,0,36.2
2026-04-13,4934.TW,-1,0,15.65
2026-04-14,4934.TW,-1,0,16.1
2026-04-15,4934.TW,-1,0,16.55
2026-04-13,6278.TW,1,0,114.0
2026-04-14,6278.TW,1,0,125.0
2026-04-15,6278.TW,1,0,135.5
2026-04-13,6281.TW,-1,0,52.0
2026-04-14,6281.TW,-1,0,52.0
2026-04-15,6281.TW,-1,0,52.5
2026-04-13,6552.TW,-1,0,25.8
2026-04-14,6552.TW,1,0,27.15
2026-04-15,6552.TW,1,0,27.4
2026-04-13,6416.TW,-1,0,78.5
2026-04-14,6416.TW,-1,0,79.1
2026-04-15,6416.TW,1,0,80.1
2026-04-13,6278.TW,1,0,114.0
2026-04-14,6278.TW,1,0,125.0
2026-04-15,6278.TW,1,0,135.5
2026-04-13,6414.TW,1,0,287.5
2026-04-14,6414.TW,1,0,294.0
2026-04-15,6414.TW,1,0,293.5
2026-04-13,4979.TWO,1,0,465.0
2026-04-14,4979.TWO,1,0,485.0
2026-04-15,4979.TWO,1,0,533.0
2026-04-13,4912.TW,-1,0,87.2
2026-04-14,4912.TW,-1,0,88.6
2026-04-15,4912.TW,-1,0,88.7
2026-04-13,6568.TWO,1,0,225.0
2026-04-14,6568.TWO,-1,0,203.0
2026-04-15,6568.TWO,-1,0,211.0
2026-04-13,6294.TWO,1,0,41.65
2026-04-14,6294.TWO,1,0,41.65
2026-04-15,6294.TWO,1,0,41.75
2026-04-13,6560.TWO,-1,0,38.8
2026-04-14,6560.TWO,-1,0,38.1
2026-04-15,6560.TWO,-1,0,38.8
2026-04-13,6292.TWO,1,0,47.5
2026-04-14,6292.TWO,1,0,47.35
2026-04-15,6292.TWO,1,0,47.75
2026-04-13,6290.TWO,-1,0,212.5
2026-04-14,6290.TWO,1,0,218.5
2026-04-15,6290.TWO,1,0,228.5
2026-04-13,4987.TWO,1,0,81.4
2026-04-14,4987.TWO,1,0,81.4
2026-04-15,4987.TWO,1,0,81.4
2026-04-13,6580.TWO,-1,0,14.45
2026-04-14,6580.TWO,-1,0,14.05
2026-04-15,6580.TWO,-1,0,14.35
2026-04-13,6564.TWO,1,0,18.6
2026-04-14,6564.TWO,1,0,18.0
2026-04-15,6564.TWO,1,0,18.5
2026-04-13,6411.TWO,-1,0,76.1
2026-04-14,6411.TWO,1,0,76.5
2026-04-15,6411.TWO,1,0,76.6
2026-04-13,6558.TW,1,0,28.75
2026-04-14,6558.TW,1,0,29.0
2026-04-15,6558.TW,1,0,29.6
2026-04-13,4927.TW,1,0,48.2
2026-04-14,4927.TW,1,0,50.7
2026-04-15,4927.TW,1,0,48.1
2026-04-13,4927.TW,1,0,48.2
2026-04-14,4927.TW,1,0,50.7
2026-04-15,4927.TW,1,0,48.1
2026-04-13,4925.TWO,1,0,112.0
2026-04-14,4925.TWO,1,0,103.0
2026-04-15,4925.TWO,1,0,103.5
2026-04-13,6558.TW,1,0,28.75
2026-04-14,6558.TW,1,0,29.0
2026-04-15,6558.TW,1,0,29.6
2026-04-13,6407.TWO,1,0,41.0
